#
# This scattering intensity file was created by WAXSiS
#
# q[A-1]        I(q)              sigma(q)
           0   4.41349e+07       579339
        0.01     4.272e+07       557890
        0.02   3.87543e+07       503149
        0.03   3.29876e+07       434280
        0.04   2.64144e+07       370348
        0.05   1.99973e+07       324851
        0.06   1.44414e+07       302315
        0.07   1.00883e+07       278752
        0.08   6.94363e+06       246364
        0.09   4.79637e+06       220677
         0.1   3.36234e+06       205252
        0.11   2.39336e+06       181652
        0.12   1.72372e+06       140581
        0.13   1.26195e+06      94801.4
        0.14        956515      64365.6
        0.15        765209      52671.8
        0.16        643655      45800.2
        0.17        551199      39281.2
        0.18        462267      33165.1
        0.19        371544      28050.5
         0.2        288850      24607.5
        0.21        227612      22164.9
        0.22        194501      20112.3
        0.23        185696      19787.8
        0.24        190298      20776.9
        0.25        197075      21411.4
        0.26        199739      20543.2
        0.27        198026      18113.9
        0.28        195092      14787.3
        0.29        193843      11365.1
         0.3        194762      9119.07
        0.31        196145      8388.89
        0.32        195854      7741.67
        0.33        192962      6856.85
        0.34        188163      5993.17
        0.35        182969         5365
        0.36        178539      5016.96
        0.37        175046      4908.03
        0.38        171908      4891.96
        0.39        168531       4807.6
         0.4        165615      4261.78
        0.41        162007      4061.94
        0.42        161831      3836.97
        0.43        162938      3825.32
        0.44        167609      3518.65
        0.45        172277      3303.13
        0.46        178264      3193.51
        0.47        183534      3077.63
        0.48        187145      2964.06
        0.49        188909      2884.84
         0.5        189038      2794.63
        0.51        186909      2907.77
        0.52        183837      2736.97
        0.53        179354      2835.66
        0.54        175330      2827.23
        0.55        171605       2764.8
        0.56        169085      2757.25
        0.57        167223      2686.82
        0.58        167094      2629.24
        0.59        166733       2555.1
         0.6        166100       2508.1
        0.61        164165      2506.33
        0.62        161348       2447.4
        0.63        157089      2409.13
        0.64        153042      2389.78
        0.65        148295      2413.57
        0.66        143982      2338.99
        0.67        139502      2351.69
        0.68        135019      2258.53
        0.69        129850      2208.17
         0.7        124896      2223.46
        0.71        120310      2162.72
        0.72        115664      2045.77
        0.73        110845      2030.97
        0.74        105746      1923.67
        0.75       99984.9      1810.53
        0.76       93696.3      1732.64
        0.77       88167.7       1728.9
        0.78       83012.9      1710.16
        0.79       78837.1      1692.09
         0.8       75447.8      1658.74
        0.81       72863.4      1678.69
        0.82       70117.4      1642.23
        0.83       67282.5       1563.8
        0.84       64742.7      1516.14
        0.85       62742.9      1459.68
        0.86       61432.5      1375.27
        0.87       60531.8      1363.76
        0.88       60471.7       1347.5
        0.89       60965.9      1337.96
         0.9       61649.8      1299.93
        0.91       62362.5      1311.24
        0.92       63411.6      1339.58
        0.93       65038.6      1351.94
        0.94       66560.8      1373.92
        0.95       67967.7      1387.72
        0.96       68880.8      1431.31
        0.97         69059       1456.3
        0.98       68656.5      1398.11
        0.99       67824.7      1368.07
           1       66766.7      1345.39
