0.009375 62450 15.707 15.6091
0.028125 54430.6 15.5696 15.5052
0.046875 41571.2 15.3001 15.2758
0.065625 28293.9 14.9153 14.9715
0.084375 17917.2 14.4584 14.5888
0.103125 11484.1 14.0136 14.1127
0.121875 8152.59 13.671 13.7027
0.140625 6409.68 13.4305 13.3673
0.159375 5117.95 13.2054 13.0723
0.178125 3873.15 12.9267 12.8065
0.196875 2764.44 12.5895 12.4807
0.215625 1963.53 12.2474 12.0419
0.234375 1494.98 11.9748 11.6625
0.253125 1250.16 11.7959 11.4518
0.271875 1102.08 11.6698 11.454
0.290625 981.607 11.5541 11.5518
1
