0.0000E+00 0.1203E+02
0.1365E-01 0.1203E+02
0.2731E-01 0.1203E+02
0.4096E-01 0.1202E+02
0.5462E-01 0.1201E+02
0.6827E-01 0.1199E+02
0.8193E-01 0.1198E+02
0.9558E-01 0.1196E+02
0.1092E+00 0.1193E+02
0.1229E+00 0.1191E+02
0.1365E+00 0.1188E+02
0.1502E+00 0.1185E+02
0.1639E+00 0.1181E+02
0.1775E+00 0.1178E+02
0.1912E+00 0.1174E+02
0.2048E+00 0.1169E+02
0.2185E+00 0.1165E+02
0.2321E+00 0.1160E+02
0.2458E+00 0.1155E+02
0.2594E+00 0.1149E+02
0.2731E+00 0.1143E+02
0.2867E+00 0.1137E+02
0.3004E+00 0.1131E+02
0.3141E+00 0.1089E+02
0.3277E+00 0.1092E+02
0.3414E+00 0.1084E+02
0.3551E+00 0.1081E+02
0.3687E+00 0.1075E+02
0.3824E+00 0.1068E+02
0.3961E+00 0.1062E+02
0.4097E+00 0.1055E+02
0.4234E+00 0.1036E+02
0.4371E+00 0.1036E+02
0.4508E+00 0.1024E+02
0.4644E+00 0.1014E+02
0.4781E+00 0.1010E+02
0.4918E+00 0.1001E+02
0.5054E+00 0.9945E+01
0.5191E+00 0.9973E+01
0.5328E+00 0.9880E+01
0.5464E+00 0.9812E+01
0.5601E+00 0.9688E+01
0.5738E+00 0.9635E+01
0.5875E+00 0.9593E+01
0.6011E+00 0.9524E+01
0.6148E+00 0.9404E+01
0.6285E+00 0.9294E+01
0.6421E+00 0.9111E+01
0.6558E+00 0.9086E+01
0.6695E+00 0.9006E+01
0.6831E+00 0.8973E+01
0.6968E+00 0.8787E+01
0.7105E+00 0.8702E+01
0.7242E+00 0.8553E+01
0.7378E+00 0.8424E+01
0.7515E+00 0.8288E+01
0.7652E+00 0.8191E+01
0.7788E+00 0.8069E+01
0.7925E+00 0.7929E+01
0.8062E+00 0.7819E+01
0.8198E+00 0.7641E+01
0.8335E+00 0.7513E+01
0.8472E+00 0.7398E+01
0.8609E+00 0.7260E+01
0.8745E+00 0.7136E+01
0.8882E+00 0.6994E+01
