0.0166667 707168 7.2562 7.19311
0.03 588848 7.07311 7.04991
0.0433333 441802 6.7858 6.7338
0.0566667 299069 6.39561 6.32527
0.07 183491 5.9071 5.8812
0.0833333 103530 5.3348 5.39329
0.0966667 55918.2 4.71883 4.89486
0.11 31457.9 4.14359 4.44887
0.123333 20355.2 3.70827 4.00016
0.136667 15303.5 3.42302 3.61492
0.15 12274.5 3.20246 3.27405
0.163333 9812.45 2.97859 2.95314
0.176667 7786.03 2.74727 2.7318
0.19 6351.46 2.54362 2.46676
0.203333 5475.68 2.39525 2.2199
0.216667 4943.89 2.29309 2.09094
0.23 4545.07 2.20898 1.89514
0.243333 4182.68 2.12589 1.6866
1
