0.0157143 896602 3.36459 3.33439
0.0271429 713625 3.13633 3.08401
0.0385714 506504 2.79351 2.70225
0.05 326789 2.35529 2.27368
0.0614286 200582 1.8672 1.87039
0.0728571 126365 1.40515 1.48081
0.0842857 86901.4 1.03075 1.13762
0.0957143 64087.7 0.726225 0.79588
0.107143 47363.1 0.423816 0.420531
0.118571 33734.2 0.0844859 0.0782565
0.13 23526.2 -0.275912 -0.273594
0.141429 16856.2 -0.609307 -0.624349
0.152857 12810.8 -0.883735 -0.996913
0.164286 10262.8 -1.1055 -1.36798
0.175714 8570.06 -1.28575 -1.78701
0.187143 7519.87 -1.41648 -2.04075
0.198571 6961.95 -1.49357 -2.27899
0.21 6651.28 -1.53922 -2.27164
0.221429 6343.76 -1.58655 -2.30002
0.232857 5917.36 -1.65614 -2.50274
0.244286 5389.06 -1.74965 -2.96622
1
